Document No.,Line No.,Buy-from Vendor No.,No.,Description,Expected Receipt Date,Promised Receipt Date,Outstanding Quantity,Location Code
PO-104003,10000,V10010,L645-1616SA,"6"" 45 DEG ELBOW 16"" X 16"" ALUMINIZED SLIP",10/04/2026,09/29/2026,8,MAIN
PO-104003,20000,V10010,L645-1616SA,"6"" 45 DEG ELBOW 16"" X 16"" ALUMINIZED SLIP",10/02/2026,10/02/2026,8,MAIN
PO-104004,10000,V10010,RBSB10B4,"STACK BRACKET 10"" BLACK STYLE 4",10/05/2026,10/05/2026,25,MAIN
PO-104005,10000,V10010,L615-1216B,"6"" 15 DEG ELBOW 12"" X 16"" BLACK",10/18/2026,10/18/2026,50,MAIN
PO-104006,10000,V10010,L690-248SA,"6"" 90 DEG ELBOW 24"" X 8"" ALUMINIZED SLIP",10/19/2026,10/19/2026,100,MAIN
PO-104006,20000,V10010,M-1504,"MUFFLER RECTANGULAR 11"" X 30"" 6"" IN/OUT",10/21/2026,10/21/2026,8,MAIN
PO-104006,30000,V10010,M-7195,"MUFFLER ROUND 12"" X 30"" 6"" IN/OUT",10/26/2026,10/21/2026,33,MAIN
PO-104007,10000,V10010,L615-1216B,"6"" 15 DEG ELBOW 12"" X 16"" BLACK",10/29/2026,10/29/2026,50,MAIN
PO-104007,20000,V10010,M-1504,"MUFFLER RECTANGULAR 11"" X 30"" 6"" IN/OUT",10/30/2026,10/30/2026,8,MAIN
PO-104007,30000,V10010,RW-905,"TUBE 5"" 14GA 10FT ALUMINIZED",10/28/2026,10/28/2026,25,MAIN
PO-104007,40000,V10010,S7-144MA,"7"" X 144"" MITER CUT STACK ALUMINIZED",10/29/2026,10/29/2026,16,MAIN
PO-104008,10000,V10010,L322-246SC,"3"" 22 DEG ELBOW 24"" X 6"" CHROME SLIP",11/18/2026,11/04/2026,50,MAIN
PO-104008,20000,V10010,L345-1610C,"3"" 45 DEG ELBOW 16"" X 10"" CHROME",11/03/2026,11/03/2026,25,MAIN
PO-104008,30000,V10010,L645-1616SA,"6"" 45 DEG ELBOW 16"" X 16"" ALUMINIZED SLIP",11/04/2026,11/04/2026,9,MAIN
PO-104008,40000,V10010,M-1504,"MUFFLER RECTANGULAR 11"" X 30"" 6"" IN/OUT",11/05/2026,11/05/2026,9,MAIN
PO-104008,50000,V10010,M-7195,"MUFFLER ROUND 12"" X 30"" 6"" IN/OUT",11/02/2026,11/02/2026,34,MAIN
PO-104009,10000,V10010,L345-1610C,"3"" 45 DEG ELBOW 16"" X 10"" CHROME",11/15/2026,11/15/2026,25,MAIN
PO-104009,20000,V10010,M-7195,"MUFFLER ROUND 12"" X 30"" 6"" IN/OUT",11/15/2026,11/15/2026,33,MAIN
PO-104010,10000,V10010,S7-144MA,"7"" X 144"" MITER CUT STACK ALUMINIZED",11/21/2026,11/21/2026,18,MAIN
PO-104010,20000,V10010,S7-144MA,"7"" X 144"" MITER CUT STACK ALUMINIZED",11/20/2026,11/20/2026,16,MAIN
PO-104011,10000,V10020,L315-1624A,"3"" 15 DEG ELBOW 16"" X 24"" ALUMINIZED",09/04/2026,09/04/2026,16,MAIN
PO-104012,10000,V10020,L315-1624A,"3"" 15 DEG ELBOW 16"" X 24"" ALUMINIZED",09/07/2026,09/07/2026,18,MAIN
PO-104014,10000,V10020,M-1910,"MUFFLER RECTANGULAR 11"" X 36"" 4"" IN/OUT",10/05/2026,10/05/2026,18,MAIN
PO-104014,20000,V10020,M-1910,"MUFFLER RECTANGULAR 11"" X 36"" 4"" IN/OUT",10/09/2026,10/09/2026,16,MAIN
PO-104014,30000,V10020,RBRC3S3,"RAIN CAP 3"" STAINLESS STYLE 3",10/09/2026,10/09/2026,25,MAIN
PO-104015,10000,V10020,L315-1624A,"3"" 15 DEG ELBOW 16"" X 24"" ALUMINIZED",10/27/2026,10/27/2026,16,MAIN
PO-104016,10000,V10020,M-1910,"MUFFLER RECTANGULAR 11"" X 36"" 4"" IN/OUT",11/13/2026,11/13/2026,16,MAIN
PO-104017,10000,V10030,M-5977,"MUFFLER OVAL 10"" X 24"" 4"" IN/OUT",10/02/2026,10/02/2026,16,MAIN
PO-104017,20000,V10030,RW-1103,"TUBE 7"" 12GA 10FT ALUMINIZED",10/04/2026,10/04/2026,100,MAIN
PO-104018,10000,V10030,FL6-16GA,"6"" X 16"" FLEX PIPE GALVANIZED",10/14/2026,10/14/2026,250,MAIN
PO-104019,10000,V10030,M-5977,"MUFFLER OVAL 10"" X 24"" 4"" IN/OUT",10/22/2026,10/22/2026,16,MAIN
PO-104020,10000,V10030,M-5977,"MUFFLER OVAL 10"" X 24"" 4"" IN/OUT",11/25/2026,11/25/2026,18,MAIN
PO-104021,10000,V10040,RBGD8B4,"GUARD 8"" BLACK STYLE 4",10/05/2026,10/05/2026,250,MAIN
PO-104022,10000,V10040,M-6859,"MUFFLER OVAL 11"" X 42"" 5"" IN/OUT",10/17/2026,10/17/2026,13,MAIN
PO-104023,10000,V10040,L422-186S,"4"" 22 DEG ELBOW 18"" X 6"" STAINLESS",11/01/2026,10/29/2026,25,MAIN
PO-104023,20000,V10040,L722-2416S,"7"" 22 DEG ELBOW 24"" X 16"" STAINLESS",11/05/2026,10/29/2026,250,MAIN
PO-104024,10000,V10040,M-6859,"MUFFLER OVAL 11"" X 42"" 5"" IN/OUT",11/18/2026,11/18/2026,12,MAIN
PO-104026,10000,V10050,S4-36BS,"4"" X 36"" BULL HAULER STACK STAINLESS",10/02/2026,10/02/2026,125,MAIN
